,right,r_d,straight,l_d,left,back,type_3
277,train_set/skateboarding/Nike_SB_Dunk_High_Baroque_Brown_right.jpg,train_set/skateboarding/Nike_SB_Dunk_High_Baroque_Brown_r_d.jpg,train_set/skateboarding/Nike_SB_Dunk_High_Baroque_Brown_straight.jpg,train_set/skateboarding/Nike_SB_Dunk_High_Baroque_Brown_l_d.jpg,train_set/skateboarding/Nike_SB_Dunk_High_Baroque_Brown_left.jpg,train_set/skateboarding/Nike_SB_Dunk_High_Baroque_Brown_back.jpg,skateboarding
294,train_set/air_max_1/Nike_Air_Max_1_Swipa_right.jpg,train_set/air_max_1/Nike_Air_Max_1_Swipa_r_d.jpg,train_set/air_max_1/Nike_Air_Max_1_Swipa_straight.jpg,train_set/air_max_1/Nike_Air_Max_1_Swipa_l_d.jpg,train_set/air_max_1/Nike_Air_Max_1_Swipa_left.jpg,train_set/air_max_1/Nike_Air_Max_1_Swipa_back.jpg,air_max_1
1219,train_set/air_max_90/Nike_Air_Max_90_The_Basement_London6.jpg,train_set/air_max_90/Nike_Air_Max_90_The_Basement_London7.jpg,train_set/air_max_90/Nike_Air_Max_90_The_Basement_London8.jpg,train_set/air_max_90/Nike_Air_Max_90_The_Basement_London9.jpg,train_set/air_max_90/Nike_Air_Max_90_The_Basement_London10.jpg,train_set/air_max_90/Nike_Air_Max_90_The_Basement_London11.jpg,air_max_90
1291,train_set/air_max_1/Nike_Air_Max_1_Have_a_Nike_Day_GS6.jpg,train_set/air_max_1/Nike_Air_Max_1_Have_a_Nike_Day_GS7.jpg,train_set/air_max_1/Nike_Air_Max_1_Have_a_Nike_Day_GS8.jpg,train_set/air_max_1/Nike_Air_Max_1_Have_a_Nike_Day_GS9.jpg,train_set/air_max_1/Nike_Air_Max_1_Have_a_Nike_Day_GS10.jpg,train_set/air_max_1/Nike_Air_Max_1_Have_a_Nike_Day_GS11.jpg,air_max_1
744,train_set/basketball/Nike_Zoom_Freak_1_What_The_right.jpg,train_set/basketball/Nike_Zoom_Freak_1_What_The_r_d.jpg,train_set/basketball/Nike_Zoom_Freak_1_What_The_straight.jpg,train_set/basketball/Nike_Zoom_Freak_1_What_The_l_d.jpg,train_set/basketball/Nike_Zoom_Freak_1_What_The_left.jpg,train_set/basketball/Nike_Zoom_Freak_1_What_The_back.jpg,basketball
874,train_set/air_max/Nike_Air_Max_Plus_Triple_Black_right.jpg,train_set/air_max/Nike_Air_Max_Plus_Triple_Black_r_d.jpg,train_set/air_max/Nike_Air_Max_Plus_Triple_Black_straight.jpg,train_set/air_max/Nike_Air_Max_Plus_Triple_Black_l_d.jpg,train_set/air_max/Nike_Air_Max_Plus_Triple_Black_left.jpg,train_set/air_max/Nike_Air_Max_Plus_Triple_Black_back.jpg,air_max
1039,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Aurora_Cosmic_Clay6.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Aurora_Cosmic_Clay7.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Aurora_Cosmic_Clay8.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Aurora_Cosmic_Clay9.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Aurora_Cosmic_Clay10.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Aurora_Cosmic_Clay11.jpg,air_max_vapormax
152,train_set/running/Nike_Flyknit_Lunar1+_Supreme_Black_right.jpg,train_set/running/Nike_Flyknit_Lunar1+_Supreme_Black_r_d.jpg,train_set/running/Nike_Flyknit_Lunar1+_Supreme_Black_straight.jpg,train_set/running/Nike_Flyknit_Lunar1+_Supreme_Black_l_d.jpg,train_set/running/Nike_Flyknit_Lunar1+_Supreme_Black_left.jpg,train_set/running/Nike_Flyknit_Lunar1+_Supreme_Black_back.jpg,running
105,train_set/air_force_1/Nike_Air_Force_1_Low_Roc-A-Fella_AF100_right.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Roc-A-Fella_AF100_r_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Roc-A-Fella_AF100_straight.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Roc-A-Fella_AF100_l_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Roc-A-Fella_AF100_left.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Roc-A-Fella_AF100_back.jpg,air_force_1
656,train_set/air_force_1/Nike_Air_Force_1_Shadow_Beige_Pale_Ivory_W_right.jpg,train_set/air_force_1/Nike_Air_Force_1_Shadow_Beige_Pale_Ivory_W_r_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Shadow_Beige_Pale_Ivory_W_straight.jpg,train_set/air_force_1/Nike_Air_Force_1_Shadow_Beige_Pale_Ivory_W_l_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Shadow_Beige_Pale_Ivory_W_left.jpg,train_set/air_force_1/Nike_Air_Force_1_Shadow_Beige_Pale_Ivory_W_back.jpg,air_force_1
801,train_set/running/Nike_React_Presto_Teal_Tint_Oxygen_Purple_W_right.jpg,train_set/running/Nike_React_Presto_Teal_Tint_Oxygen_Purple_W_r_d.jpg,train_set/running/Nike_React_Presto_Teal_Tint_Oxygen_Purple_W_straight.jpg,train_set/running/Nike_React_Presto_Teal_Tint_Oxygen_Purple_W_l_d.jpg,train_set/running/Nike_React_Presto_Teal_Tint_Oxygen_Purple_W_left.jpg,train_set/running/Nike_React_Presto_Teal_Tint_Oxygen_Purple_W_back.jpg,running
805,train_set/air_max/Nike_Air_Max_95_Windbreaker_right.jpg,train_set/air_max/Nike_Air_Max_95_Windbreaker_r_d.jpg,train_set/air_max/Nike_Air_Max_95_Windbreaker_straight.jpg,train_set/air_max/Nike_Air_Max_95_Windbreaker_l_d.jpg,train_set/air_max/Nike_Air_Max_95_Windbreaker_left.jpg,train_set/air_max/Nike_Air_Max_95_Windbreaker_back.jpg,air_max
643,train_set/skateboarding/Nike_Dunk_SB_Low_Pushead_2_right.jpg,train_set/skateboarding/Nike_Dunk_SB_Low_Pushead_2_r_d.jpg,train_set/skateboarding/Nike_Dunk_SB_Low_Pushead_2_straight.jpg,train_set/skateboarding/Nike_Dunk_SB_Low_Pushead_2_l_d.jpg,train_set/skateboarding/Nike_Dunk_SB_Low_Pushead_2_left.jpg,train_set/skateboarding/Nike_Dunk_SB_Low_Pushead_2_back.jpg,skateboarding
821,train_set/air_max_90/Nike_Air_Max_90_Recraft_Hyper_Grape_right.jpg,train_set/air_max_90/Nike_Air_Max_90_Recraft_Hyper_Grape_r_d.jpg,train_set/air_max_90/Nike_Air_Max_90_Recraft_Hyper_Grape_straight.jpg,train_set/air_max_90/Nike_Air_Max_90_Recraft_Hyper_Grape_l_d.jpg,train_set/air_max_90/Nike_Air_Max_90_Recraft_Hyper_Grape_left.jpg,train_set/air_max_90/Nike_Air_Max_90_Recraft_Hyper_Grape_back.jpg,air_max_90
88,train_set/basketball/Nike_LeBron_16_Low_Atmos_Safari_right.jpg,train_set/basketball/Nike_LeBron_16_Low_Atmos_Safari_r_d.jpg,train_set/basketball/Nike_LeBron_16_Low_Atmos_Safari_straight.jpg,train_set/basketball/Nike_LeBron_16_Low_Atmos_Safari_l_d.jpg,train_set/basketball/Nike_LeBron_16_Low_Atmos_Safari_left.jpg,train_set/basketball/Nike_LeBron_16_Low_Atmos_Safari_back.jpg,basketball
91,train_set/basketball/Nike_Kobe_4_Protro_Undefeated_Los_Angeles_Lakers_right.jpg,train_set/basketball/Nike_Kobe_4_Protro_Undefeated_Los_Angeles_Lakers_r_d.jpg,train_set/basketball/Nike_Kobe_4_Protro_Undefeated_Los_Angeles_Lakers_straight.jpg,train_set/basketball/Nike_Kobe_4_Protro_Undefeated_Los_Angeles_Lakers_l_d.jpg,train_set/basketball/Nike_Kobe_4_Protro_Undefeated_Los_Angeles_Lakers_left.jpg,train_set/basketball/Nike_Kobe_4_Protro_Undefeated_Los_Angeles_Lakers_back.jpg,basketball
757,train_set/running/Nike_Flyknit_Racer_Oreo_2_right.jpg,train_set/running/Nike_Flyknit_Racer_Oreo_2_r_d.jpg,train_set/running/Nike_Flyknit_Racer_Oreo_2_straight.jpg,train_set/running/Nike_Flyknit_Racer_Oreo_2_l_d.jpg,train_set/running/Nike_Flyknit_Racer_Oreo_2_left.jpg,train_set/running/Nike_Flyknit_Racer_Oreo_2_back.jpg,running
579,train_set/air_max/Nike_Air_Max_720_OBJ_Odell_Beckham_Jr_Black_right.jpg,train_set/air_max/Nike_Air_Max_720_OBJ_Odell_Beckham_Jr_Black_r_d.jpg,train_set/air_max/Nike_Air_Max_720_OBJ_Odell_Beckham_Jr_Black_straight.jpg,train_set/air_max/Nike_Air_Max_720_OBJ_Odell_Beckham_Jr_Black_l_d.jpg,train_set/air_max/Nike_Air_Max_720_OBJ_Odell_Beckham_Jr_Black_left.jpg,train_set/air_max/Nike_Air_Max_720_OBJ_Odell_Beckham_Jr_Black_back.jpg,air_max
1026,train_set/air_max_vapormax/Nike_Air_VaporMax_Clot_Bright_Crimson6.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Clot_Bright_Crimson7.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Clot_Bright_Crimson8.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Clot_Bright_Crimson9.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Clot_Bright_Crimson10.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Clot_Bright_Crimson11.jpg,air_max_vapormax
530,train_set/air_force_1/Nike_Air_Force_1_Low_Realtree_Orange_right.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Realtree_Orange_r_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Realtree_Orange_straight.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Realtree_Orange_l_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Realtree_Orange_left.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Realtree_Orange_back.jpg,air_force_1
922,train_set/running/Nike_Shox_TL_Skepta_right.jpg,train_set/running/Nike_Shox_TL_Skepta_r_d.jpg,train_set/running/Nike_Shox_TL_Skepta_straight.jpg,train_set/running/Nike_Shox_TL_Skepta_l_d.jpg,train_set/running/Nike_Shox_TL_Skepta_left.jpg,train_set/running/Nike_Shox_TL_Skepta_back.jpg,running
381,train_set/basketball/Nike_PG_4_Gatorade_right.jpg,train_set/basketball/Nike_PG_4_Gatorade_r_d.jpg,train_set/basketball/Nike_PG_4_Gatorade_straight.jpg,train_set/basketball/Nike_PG_4_Gatorade_l_d.jpg,train_set/basketball/Nike_PG_4_Gatorade_left.jpg,train_set/basketball/Nike_PG_4_Gatorade_back.jpg,basketball
727,train_set/skateboarding/Nike_SB_Dunk_High_Bred_right.jpg,train_set/skateboarding/Nike_SB_Dunk_High_Bred_r_d.jpg,train_set/skateboarding/Nike_SB_Dunk_High_Bred_straight.jpg,train_set/skateboarding/Nike_SB_Dunk_High_Bred_l_d.jpg,train_set/skateboarding/Nike_SB_Dunk_High_Bred_left.jpg,train_set/skateboarding/Nike_SB_Dunk_High_Bred_back.jpg,skateboarding
723,train_set/air_force_1/Nike_Air_Force_1_Mid_Supreme_NBA_White_right.jpg,train_set/air_force_1/Nike_Air_Force_1_Mid_Supreme_NBA_White_r_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Mid_Supreme_NBA_White_straight.jpg,train_set/air_force_1/Nike_Air_Force_1_Mid_Supreme_NBA_White_l_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Mid_Supreme_NBA_White_left.jpg,train_set/air_force_1/Nike_Air_Force_1_Mid_Supreme_NBA_White_back.jpg,air_force_1
1199,train_set/air_max_90/Nike_Air_Max_90_Reverse_Duck_Camo_20206.jpg,train_set/air_max_90/Nike_Air_Max_90_Reverse_Duck_Camo_20207.jpg,train_set/air_max_90/Nike_Air_Max_90_Reverse_Duck_Camo_20208.jpg,train_set/air_max_90/Nike_Air_Max_90_Reverse_Duck_Camo_20209.jpg,train_set/air_max_90/Nike_Air_Max_90_Reverse_Duck_Camo_202010.jpg,train_set/air_max_90/Nike_Air_Max_90_Reverse_Duck_Camo_202011.jpg,air_max_90
390,train_set/air_force_1/Nike_Air_Force_1_Shadow_Triple_White_W_right.jpg,train_set/air_force_1/Nike_Air_Force_1_Shadow_Triple_White_W_r_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Shadow_Triple_White_W_straight.jpg,train_set/air_force_1/Nike_Air_Force_1_Shadow_Triple_White_W_l_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Shadow_Triple_White_W_left.jpg,train_set/air_force_1/Nike_Air_Force_1_Shadow_Triple_White_W_back.jpg,air_force_1
1103,train_set/air_max/Nike_Air_Max_95_Wolf_Grey_Grape6.jpg,train_set/air_max/Nike_Air_Max_95_Wolf_Grey_Grape7.jpg,train_set/air_max/Nike_Air_Max_95_Wolf_Grey_Grape8.jpg,train_set/air_max/Nike_Air_Max_95_Wolf_Grey_Grape9.jpg,train_set/air_max/Nike_Air_Max_95_Wolf_Grey_Grape10.jpg,train_set/air_max/Nike_Air_Max_95_Wolf_Grey_Grape11.jpg,air_max
1158,train_set/air_max_97/Nike_Air_Max_Plus_97_Frequency_Pack6.jpg,train_set/air_max_97/Nike_Air_Max_Plus_97_Frequency_Pack7.jpg,train_set/air_max_97/Nike_Air_Max_Plus_97_Frequency_Pack8.jpg,train_set/air_max_97/Nike_Air_Max_Plus_97_Frequency_Pack9.jpg,train_set/air_max_97/Nike_Air_Max_Plus_97_Frequency_Pack10.jpg,train_set/air_max_97/Nike_Air_Max_Plus_97_Frequency_Pack11.jpg,air_max_97
826,train_set/basketball/Nike_Shox_BB4_Black_University_Gold_right.jpg,train_set/basketball/Nike_Shox_BB4_Black_University_Gold_r_d.jpg,train_set/basketball/Nike_Shox_BB4_Black_University_Gold_straight.jpg,train_set/basketball/Nike_Shox_BB4_Black_University_Gold_l_d.jpg,train_set/basketball/Nike_Shox_BB4_Black_University_Gold_left.jpg,train_set/basketball/Nike_Shox_BB4_Black_University_Gold_back.jpg,basketball
1014,train_set/air_max_vapormax/Nike_Air_Vapormax_3_White_Dynamic_Yellow6.jpg,train_set/air_max_vapormax/Nike_Air_Vapormax_3_White_Dynamic_Yellow7.jpg,train_set/air_max_vapormax/Nike_Air_Vapormax_3_White_Dynamic_Yellow8.jpg,train_set/air_max_vapormax/Nike_Air_Vapormax_3_White_Dynamic_Yellow9.jpg,train_set/air_max_vapormax/Nike_Air_Vapormax_3_White_Dynamic_Yellow10.jpg,train_set/air_max_vapormax/Nike_Air_Vapormax_3_White_Dynamic_Yellow11.jpg,air_max_vapormax
1221,train_set/air_max_90/Nike_Air_Max_90_Recraft_Turquoise6.jpg,train_set/air_max_90/Nike_Air_Max_90_Recraft_Turquoise7.jpg,train_set/air_max_90/Nike_Air_Max_90_Recraft_Turquoise8.jpg,train_set/air_max_90/Nike_Air_Max_90_Recraft_Turquoise9.jpg,train_set/air_max_90/Nike_Air_Max_90_Recraft_Turquoise10.jpg,train_set/air_max_90/Nike_Air_Max_90_Recraft_Turquoise11.jpg,air_max_90
1401,train_set/foamposite/Nike_Air_Foamposite_One_Legion_Green6.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Legion_Green7.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Legion_Green8.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Legion_Green9.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Legion_Green10.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Legion_Green11.jpg,foamposite
1185,train_set/air_max_90/Nike_Air_Max_90_Metallic_Silver_2020_W6.jpg,train_set/air_max_90/Nike_Air_Max_90_Metallic_Silver_2020_W7.jpg,train_set/air_max_90/Nike_Air_Max_90_Metallic_Silver_2020_W8.jpg,train_set/air_max_90/Nike_Air_Max_90_Metallic_Silver_2020_W9.jpg,train_set/air_max_90/Nike_Air_Max_90_Metallic_Silver_2020_W10.jpg,train_set/air_max_90/Nike_Air_Max_90_Metallic_Silver_2020_W11.jpg,air_max_90
1345,train_set/other/Nike_Killshot_2_Leather_J_Crew6.jpg,train_set/other/Nike_Killshot_2_Leather_J_Crew7.jpg,train_set/other/Nike_Killshot_2_Leather_J_Crew8.jpg,train_set/other/Nike_Killshot_2_Leather_J_Crew9.jpg,train_set/other/Nike_Killshot_2_Leather_J_Crew10.jpg,train_set/other/Nike_Killshot_2_Leather_J_Crew11.jpg,other
502,train_set/running/Nike_ZoomX_VaporFly_Next%_Blue_Ribbon_Sports_right.jpg,train_set/running/Nike_ZoomX_VaporFly_Next%_Blue_Ribbon_Sports_r_d.jpg,train_set/running/Nike_ZoomX_VaporFly_Next%_Blue_Ribbon_Sports_straight.jpg,train_set/running/Nike_ZoomX_VaporFly_Next%_Blue_Ribbon_Sports_l_d.jpg,train_set/running/Nike_ZoomX_VaporFly_Next%_Blue_Ribbon_Sports_left.jpg,train_set/running/Nike_ZoomX_VaporFly_Next%_Blue_Ribbon_Sports_back.jpg,running
508,train_set/basketball/Nike_LeBron_16_Low_Agimat_right.jpg,train_set/basketball/Nike_LeBron_16_Low_Agimat_r_d.jpg,train_set/basketball/Nike_LeBron_16_Low_Agimat_straight.jpg,train_set/basketball/Nike_LeBron_16_Low_Agimat_l_d.jpg,train_set/basketball/Nike_LeBron_16_Low_Agimat_left.jpg,train_set/basketball/Nike_LeBron_16_Low_Agimat_back.jpg,basketball
1035,train_set/air_max_vapormax/Nike_Air_VaporMax_360_OG_Grey_Red6.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_360_OG_Grey_Red7.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_360_OG_Grey_Red8.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_360_OG_Grey_Red9.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_360_OG_Grey_Red10.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_360_OG_Grey_Red11.jpg,air_max_vapormax
608,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Bright_Crimson_Pink_Blast_W_right.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Bright_Crimson_Pink_Blast_W_r_d.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Bright_Crimson_Pink_Blast_W_straight.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Bright_Crimson_Pink_Blast_W_l_d.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Bright_Crimson_Pink_Blast_W_left.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Plus_Bright_Crimson_Pink_Blast_W_back.jpg,air_max_vapormax
938,train_set/basketball/Nike_Air_More_Uptempo_Cool_Grey_Midnight_Navy_right.jpg,train_set/basketball/Nike_Air_More_Uptempo_Cool_Grey_Midnight_Navy_r_d.jpg,train_set/basketball/Nike_Air_More_Uptempo_Cool_Grey_Midnight_Navy_straight.jpg,train_set/basketball/Nike_Air_More_Uptempo_Cool_Grey_Midnight_Navy_l_d.jpg,train_set/basketball/Nike_Air_More_Uptempo_Cool_Grey_Midnight_Navy_left.jpg,train_set/basketball/Nike_Air_More_Uptempo_Cool_Grey_Midnight_Navy_back.jpg,basketball
790,train_set/other/Nike_Air_Moc_N7_Pendleton_right.jpg,train_set/other/Nike_Air_Moc_N7_Pendleton_r_d.jpg,train_set/other/Nike_Air_Moc_N7_Pendleton_straight.jpg,train_set/other/Nike_Air_Moc_N7_Pendleton_l_d.jpg,train_set/other/Nike_Air_Moc_N7_Pendleton_left.jpg,train_set/other/Nike_Air_Moc_N7_Pendleton_back.jpg,other
553,train_set/foamposite/Nike_Air_Foamposite_One_Chrome_White_W_right.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Chrome_White_W_r_d.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Chrome_White_W_straight.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Chrome_White_W_l_d.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Chrome_White_W_left.jpg,train_set/foamposite/Nike_Air_Foamposite_One_Chrome_White_W_back.jpg,foamposite
819,train_set/air_max/Nike_Air_Max_95_Grape_Snakeskin_right.jpg,train_set/air_max/Nike_Air_Max_95_Grape_Snakeskin_r_d.jpg,train_set/air_max/Nike_Air_Max_95_Grape_Snakeskin_straight.jpg,train_set/air_max/Nike_Air_Max_95_Grape_Snakeskin_l_d.jpg,train_set/air_max/Nike_Air_Max_95_Grape_Snakeskin_left.jpg,train_set/air_max/Nike_Air_Max_95_Grape_Snakeskin_back.jpg,air_max
1191,train_set/air_max_90/Nike_Air_Max_90_LX_90s_Dancefloor_Green_W6.jpg,train_set/air_max_90/Nike_Air_Max_90_LX_90s_Dancefloor_Green_W7.jpg,train_set/air_max_90/Nike_Air_Max_90_LX_90s_Dancefloor_Green_W8.jpg,train_set/air_max_90/Nike_Air_Max_90_LX_90s_Dancefloor_Green_W9.jpg,train_set/air_max_90/Nike_Air_Max_90_LX_90s_Dancefloor_Green_W10.jpg,train_set/air_max_90/Nike_Air_Max_90_LX_90s_Dancefloor_Green_W11.jpg,air_max_90
1071,train_set/air_max/Nike_Air_Max_270_Liquid_Metal_Black6.jpg,train_set/air_max/Nike_Air_Max_270_Liquid_Metal_Black7.jpg,train_set/air_max/Nike_Air_Max_270_Liquid_Metal_Black8.jpg,train_set/air_max/Nike_Air_Max_270_Liquid_Metal_Black9.jpg,train_set/air_max/Nike_Air_Max_270_Liquid_Metal_Black10.jpg,train_set/air_max/Nike_Air_Max_270_Liquid_Metal_Black11.jpg,air_max
86,train_set/basketball/Nike_Kobe_4_Protro_Undefeated_Phoenix_Suns_right.jpg,train_set/basketball/Nike_Kobe_4_Protro_Undefeated_Phoenix_Suns_r_d.jpg,train_set/basketball/Nike_Kobe_4_Protro_Undefeated_Phoenix_Suns_straight.jpg,train_set/basketball/Nike_Kobe_4_Protro_Undefeated_Phoenix_Suns_l_d.jpg,train_set/basketball/Nike_Kobe_4_Protro_Undefeated_Phoenix_Suns_left.jpg,train_set/basketball/Nike_Kobe_4_Protro_Undefeated_Phoenix_Suns_back.jpg,basketball
1074,train_set/air_max/Nike_Air_Max_720_Northern_Lights_Night6.jpg,train_set/air_max/Nike_Air_Max_720_Northern_Lights_Night7.jpg,train_set/air_max/Nike_Air_Max_720_Northern_Lights_Night8.jpg,train_set/air_max/Nike_Air_Max_720_Northern_Lights_Night9.jpg,train_set/air_max/Nike_Air_Max_720_Northern_Lights_Night10.jpg,train_set/air_max/Nike_Air_Max_720_Northern_Lights_Night11.jpg,air_max
