,stockx_link,stockx_name,type_1,type_2,type_3,model,right,r_d,straight,l_d,left,back,style,colorway,retailprice,releasedate,primary_colour
13,https://stockx.com/nike-dunk-low-off-white-pine-green,Nike Dunk Low Off-White Pine Green,Basketball,Dunk,basketball,Dunk Low Off-White,images/right/Nike_Dunk_Low_Off-White_Pine_Green_right.jpg,images/r_d/Nike_Dunk_Low_Off-White_Pine_Green_r_d.jpg,images/straight/Nike_Dunk_Low_Off-White_Pine_Green_straight.jpg,images/l_d/Nike_Dunk_Low_Off-White_Pine_Green_l_d.jpg,images/left/Nike_Dunk_Low_Off-White_Pine_Green_left.jpg,images/back/Nike_Dunk_Low_Off-White_Pine_Green_back.jpg,CT0856-100,White/Pine Green-Pine Green,170.0,2019-12-20,white
14,https://stockx.com/nike-dunk-low-off-white-university-red,Nike Dunk Low Off-White University Red,Basketball,Dunk,basketball,Dunk Low Off-White,images/right/Nike_Dunk_Low_Off-White_University_Red_right.jpg,images/r_d/Nike_Dunk_Low_Off-White_University_Red_r_d.jpg,images/straight/Nike_Dunk_Low_Off-White_University_Red_straight.jpg,images/l_d/Nike_Dunk_Low_Off-White_University_Red_l_d.jpg,images/left/Nike_Dunk_Low_Off-White_University_Red_left.jpg,images/back/Nike_Dunk_Low_Off-White_University_Red_back.jpg,CT0856-600,University Red/University Red-Wolf Grey,170.0,2019-12-20,red
15,https://stockx.com/nike-air-max-1-anniversary-red-2017-restock,Nike Air Max 1 Anniversary Red (2017/2018 Restock Pair),Air Max,1,air_max_1,Air Max 1,images/right/Nike_Air_Max_1_Anniversary_Red_20172018_Restock_Pair_right.jpg,images/r_d/Nike_Air_Max_1_Anniversary_Red_20172018_Restock_Pair_r_d.jpg,images/straight/Nike_Air_Max_1_Anniversary_Red_20172018_Restock_Pair_straight.jpg,images/l_d/Nike_Air_Max_1_Anniversary_Red_20172018_Restock_Pair_l_d.jpg,images/left/Nike_Air_Max_1_Anniversary_Red_20172018_Restock_Pair_left.jpg,images/back/Nike_Air_Max_1_Anniversary_Red_20172018_Restock_Pair_back.jpg,908375-103,White/University Red-Neutral Grey-Black,140.0,2017-09-21,white
16,https://stockx.com/nike-react-element-87-anthracite-black,Nike React Element 87 Anthracite Black,Other,Running,running,React Element 87,images/right/Nike_React_Element_87_Anthracite_Black_right.jpg,images/r_d/Nike_React_Element_87_Anthracite_Black_r_d.jpg,images/straight/Nike_React_Element_87_Anthracite_Black_straight.jpg,images/l_d/Nike_React_Element_87_Anthracite_Black_l_d.jpg,images/left/Nike_React_Element_87_Anthracite_Black_left.jpg,images/back/Nike_React_Element_87_Anthracite_Black_back.jpg,AQ1090-001,Anthracite/Black-White,160.0,2018-06-14,black
17,https://stockx.com/nike-air-force-1-low-travis-scott-cactus-jack,Nike Air Force 1 Low Travis Scott Cactus Jack,Air Force,1,air_force_1,Air Force 1,images/right/Nike_Air_Force_1_Low_Travis_Scott_Cactus_Jack_right.jpg,images/r_d/Nike_Air_Force_1_Low_Travis_Scott_Cactus_Jack_r_d.jpg,images/straight/Nike_Air_Force_1_Low_Travis_Scott_Cactus_Jack_straight.jpg,images/l_d/Nike_Air_Force_1_Low_Travis_Scott_Cactus_Jack_l_d.jpg,images/left/Nike_Air_Force_1_Low_Travis_Scott_Cactus_Jack_left.jpg,images/back/Nike_Air_Force_1_Low_Travis_Scott_Cactus_Jack_back.jpg,CN2405-900,Multi-Color/Muted Bronze-Fossil,160.0,2019-11-16,multi-color
18,https://stockx.com/nike-sb-dunk-low-infrared-orange-label,Nike SB Dunk Low Infrared Orange Label,SB,Nike SB Dunk Low Infrared Orange Label,skateboarding,SB Dunk Low,images/right/Nike_SB_Dunk_Low_Infrared_Orange_Label_right.jpg,images/r_d/Nike_SB_Dunk_Low_Infrared_Orange_Label_r_d.jpg,images/straight/Nike_SB_Dunk_Low_Infrared_Orange_Label_straight.jpg,images/l_d/Nike_SB_Dunk_Low_Infrared_Orange_Label_l_d.jpg,images/left/Nike_SB_Dunk_Low_Infrared_Orange_Label_left.jpg,images/back/Nike_SB_Dunk_Low_Infrared_Orange_Label_back.jpg,CD2563-004,White/Cement Grey-Black-Infrared,100.0,2020-01-20,white
19,https://stockx.com/nike-air-max-2-light-atmos,Nike Air Max 2 Light Atmos,Air Max,Other,air_max,Air Max 2,images/right/Nike_Air_Max_2_Light_Atmos_right.jpg,images/r_d/Nike_Air_Max_2_Light_Atmos_r_d.jpg,images/straight/Nike_Air_Max_2_Light_Atmos_straight.jpg,images/l_d/Nike_Air_Max_2_Light_Atmos_l_d.jpg,images/left/Nike_Air_Max_2_Light_Atmos_left.jpg,images/back/Nike_Air_Max_2_Light_Atmos_back.jpg,CJ6200-001/BV7406-001,Black/Bright Crimson,160.0,2019-04-05,black
20,https://stockx.com/nike-sb-dunk-low-raygun-tie-dye,Nike SB Dunk Low Raygun Tie-Dye Black,SB,Nike SB Dunk Low Raygun Tie-Dye Black,skateboarding,SB Dunk Low,images/right/Nike_SB_Dunk_Low_Raygun_Tie-Dye_Black_right.jpg,images/r_d/Nike_SB_Dunk_Low_Raygun_Tie-Dye_Black_r_d.jpg,images/straight/Nike_SB_Dunk_Low_Raygun_Tie-Dye_Black_straight.jpg,images/l_d/Nike_SB_Dunk_Low_Raygun_Tie-Dye_Black_l_d.jpg,images/left/Nike_SB_Dunk_Low_Raygun_Tie-Dye_Black_left.jpg,images/back/Nike_SB_Dunk_Low_Raygun_Tie-Dye_Black_back.jpg,BQ6832-001,Black/Black-Orange Flash,100.0,2019-12-28,black
21,https://stockx.com/nike-ld-waffle-sacai-white-grey,Nike LD Waffle sacai Summit White,Other,Running,running,LD Waffle sacai,images/right/Nike_LD_Waffle_sacai_Summit_White_right.jpg,images/r_d/Nike_LD_Waffle_sacai_Summit_White_r_d.jpg,images/straight/Nike_LD_Waffle_sacai_Summit_White_straight.jpg,images/l_d/Nike_LD_Waffle_sacai_Summit_White_l_d.jpg,images/left/Nike_LD_Waffle_sacai_Summit_White_left.jpg,images/back/Nike_LD_Waffle_sacai_Summit_White_back.jpg,BV0073-100,Summit White/White-Wolf Grey-Black,160.0,2019-09-12,white
22,https://stockx.com/nike-ld-waffle-sacai-dark-grey-black-anthracite,Nike LD Waffle sacai Black,Other,Running,running,LD Waffle sacai,images/right/Nike_LD_Waffle_sacai_Black_right.jpg,images/r_d/Nike_LD_Waffle_sacai_Black_r_d.jpg,images/straight/Nike_LD_Waffle_sacai_Black_straight.jpg,images/l_d/Nike_LD_Waffle_sacai_Black_l_d.jpg,images/left/Nike_LD_Waffle_sacai_Black_left.jpg,images/back/Nike_LD_Waffle_sacai_Black_back.jpg,BV0073-001,Black/Anthracite-White-Gunsmoke,160.0,2019-09-12,black
23,https://stockx.com/nike-react-element-55-kendrick-lamar,Nike React Element 55 Kendrick Lamar,Other,Running,running,React Element 55,images/right/Nike_React_Element_55_Kendrick_Lamar_right.jpg,images/r_d/Nike_React_Element_55_Kendrick_Lamar_r_d.jpg,images/straight/Nike_React_Element_55_Kendrick_Lamar_straight.jpg,images/l_d/Nike_React_Element_55_Kendrick_Lamar_l_d.jpg,images/left/Nike_React_Element_55_Kendrick_Lamar_left.jpg,images/back/Nike_React_Element_55_Kendrick_Lamar_back.jpg,CJ3312-001,Anthracite/White-Black,150.0,2019-11-05,black
24,https://stockx.com/nike-sb-dunk-low-supreme-jewel-swoosh-silver,Nike SB Dunk Low Supreme Jewel Swoosh Silver,SB,SB Dunk Low,skateboarding,SB Dunk Low,images/right/Nike_SB_Dunk_Low_Supreme_Jewel_Swoosh_Silver_right.jpg,images/r_d/Nike_SB_Dunk_Low_Supreme_Jewel_Swoosh_Silver_r_d.jpg,images/straight/Nike_SB_Dunk_Low_Supreme_Jewel_Swoosh_Silver_straight.jpg,images/l_d/Nike_SB_Dunk_Low_Supreme_Jewel_Swoosh_Silver_l_d.jpg,images/left/Nike_SB_Dunk_Low_Supreme_Jewel_Swoosh_Silver_left.jpg,images/back/Nike_SB_Dunk_Low_Supreme_Jewel_Swoosh_Silver_back.jpg,CK3480-001,Metallic Silver/Metallic Silver-Black,110.0,2019-09-14,grey
25,https://stockx.com/nike-lebron-7-fairfax-away-2020,Nike LeBron 7 Fairfax Away (2020),LeBron,7,basketball,LeBron 7 Fairfax,images/right/Nike_LeBron_7_Fairfax_Away_2020_right.jpg,images/r_d/Nike_LeBron_7_Fairfax_Away_2020_r_d.jpg,images/straight/Nike_LeBron_7_Fairfax_Away_2020_straight.jpg,images/l_d/Nike_LeBron_7_Fairfax_Away_2020_l_d.jpg,images/left/Nike_LeBron_7_Fairfax_Away_2020_left.jpg,images/back/Nike_LeBron_7_Fairfax_Away_2020_back.jpg,CU5646-001,Black/Varsity Red-Varsity Maize,200.0,2020-03-06,black
26,https://stockx.com/nike-blazer-high-sacai-snow-beach,Nike Blazer Mid sacai Snow Beach,Basketball,Other,basketball,Blazer Mid sacai,images/right/Nike_Blazer_Mid_sacai_Snow_Beach_right.jpg,images/r_d/Nike_Blazer_Mid_sacai_Snow_Beach_r_d.jpg,images/straight/Nike_Blazer_Mid_sacai_Snow_Beach_straight.jpg,images/l_d/Nike_Blazer_Mid_sacai_Snow_Beach_l_d.jpg,images/left/Nike_Blazer_Mid_sacai_Snow_Beach_left.jpg,images/back/Nike_Blazer_Mid_sacai_Snow_Beach_back.jpg,BV0072-700,White/Obsidian-University Red-Varsity Maize,140.0,2019-05-30,white
27,https://stockx.com/nike-air-max-90-mars-landing,Nike Air Max 90 Mars Landing,Air Max,90,air_max_90,Air Max 90,images/right/Nike_Air_Max_90_Mars_Landing_right.jpg,images/r_d/Nike_Air_Max_90_Mars_Landing_r_d.jpg,images/straight/Nike_Air_Max_90_Mars_Landing_straight.jpg,images/l_d/Nike_Air_Max_90_Mars_Landing_l_d.jpg,images/left/Nike_Air_Max_90_Mars_Landing_left.jpg,images/back/Nike_Air_Max_90_Mars_Landing_back.jpg,CD0920-600,Mars Stone/Magma Orange,160.0,2019-03-16,orange
28,https://stockx.com/nike-sb-dunk-high-paul-rodriguez-mexico,Nike SB Dunk High Paul Rodriguez Mexico,SB,SB Dunk High,skateboarding,SB Dunk High,images/right/Nike_SB_Dunk_High_Paul_Rodriguez_Mexico_right.jpg,images/r_d/Nike_SB_Dunk_High_Paul_Rodriguez_Mexico_r_d.jpg,images/straight/Nike_SB_Dunk_High_Paul_Rodriguez_Mexico_straight.jpg,images/l_d/Nike_SB_Dunk_High_Paul_Rodriguez_Mexico_l_d.jpg,images/left/Nike_SB_Dunk_High_Paul_Rodriguez_Mexico_left.jpg,images/back/Nike_SB_Dunk_High_Paul_Rodriguez_Mexico_back.jpg,CT6680-100,White/Red-Green,125.0,2020-01-21,white
29,https://stockx.com/nike-air-max-90-30th-anniversary-white-particle-grey-volt,Nike Air Max 90 OG Volt (2020),Air Max,90,air_max_90,Air Max 90,images/right/Nike_Air_Max_90_OG_Volt_2020_right.jpg,images/r_d/Nike_Air_Max_90_OG_Volt_2020_r_d.jpg,images/straight/Nike_Air_Max_90_OG_Volt_2020_straight.jpg,images/l_d/Nike_Air_Max_90_OG_Volt_2020_l_d.jpg,images/left/Nike_Air_Max_90_OG_Volt_2020_left.jpg,images/back/Nike_Air_Max_90_OG_Volt_2020_back.jpg,CD0881-103,White/Particle Grey-Black-Volt,140.0,2020-01-09,white
30,https://stockx.com/nike-blazer-high-sacai-black-grey,Nike Blazer Mid sacai Black Grey,Basketball,Other,basketball,Blazer Mid sacai,images/right/Nike_Blazer_Mid_sacai_Black_Grey_right.jpg,images/r_d/Nike_Blazer_Mid_sacai_Black_Grey_r_d.jpg,images/straight/Nike_Blazer_Mid_sacai_Black_Grey_straight.jpg,images/l_d/Nike_Blazer_Mid_sacai_Black_Grey_l_d.jpg,images/left/Nike_Blazer_Mid_sacai_Black_Grey_left.jpg,images/back/Nike_Blazer_Mid_sacai_Black_Grey_back.jpg,BV0072-002,Black/White-Wolf Grey-Black,140.0,2019-10-10,black
31,https://stockx.com/nike-blazer-high-sacai-white-grey,Nike Blazer Mid sacai White Grey,Basketball,Other,basketball,Blazer Mid sacai,images/right/Nike_Blazer_Mid_sacai_White_Grey_right.jpg,images/r_d/Nike_Blazer_Mid_sacai_White_Grey_r_d.jpg,images/straight/Nike_Blazer_Mid_sacai_White_Grey_straight.jpg,images/l_d/Nike_Blazer_Mid_sacai_White_Grey_l_d.jpg,images/left/Nike_Blazer_Mid_sacai_White_Grey_left.jpg,images/back/Nike_Blazer_Mid_sacai_White_Grey_back.jpg,BV0072-100,Summit White/White-Wolf Grey-Black,140.0,2019-10-10,white
32,https://stockx.com/nike-air-max-90-viotech-og,Nike Air Max 90 Viotech OG,Air Max,90,air_max_90,Air Max 90,images/right/Nike_Air_Max_90_Viotech_OG_right.jpg,images/r_d/Nike_Air_Max_90_Viotech_OG_r_d.jpg,images/straight/Nike_Air_Max_90_Viotech_OG_straight.jpg,images/l_d/Nike_Air_Max_90_Viotech_OG_l_d.jpg,images/left/Nike_Air_Max_90_Viotech_OG_left.jpg,images/back/Nike_Air_Max_90_Viotech_OG_back.jpg,CD0917-600,University Red/Pale Vanilla-Hyper Grape,140.0,2019-08-29,red
33,https://stockx.com/nike-air-force-1-low-day-of-the-dead-2019,Nike Air Force 1 Low Day of the Dead (2019),Air Force,1,air_force_1,Air Force 1,images/right/Nike_Air_Force_1_Low_Day_of_the_Dead_2019_right.jpg,images/r_d/Nike_Air_Force_1_Low_Day_of_the_Dead_2019_r_d.jpg,images/straight/Nike_Air_Force_1_Low_Day_of_the_Dead_2019_straight.jpg,images/l_d/Nike_Air_Force_1_Low_Day_of_the_Dead_2019_l_d.jpg,images/left/Nike_Air_Force_1_Low_Day_of_the_Dead_2019_left.jpg,images/back/Nike_Air_Force_1_Low_Day_of_the_Dead_2019_back.jpg,CT1138-100,White/Black-Multi-Color,0.0,2019-10-25,white
34,https://stockx.com/nike-air-max-97-neon-seoul,Nike Air Max 97 Neon Seoul,Air Max,97,air_max_97,Air Max 97,images/right/Nike_Air_Max_97_Neon_Seoul_right.jpg,images/r_d/Nike_Air_Max_97_Neon_Seoul_r_d.jpg,images/straight/Nike_Air_Max_97_Neon_Seoul_straight.jpg,images/l_d/Nike_Air_Max_97_Neon_Seoul_l_d.jpg,images/left/Nike_Air_Max_97_Neon_Seoul_left.jpg,images/back/Nike_Air_Max_97_Neon_Seoul_back.jpg,CI1503-001,Black/Reflect Silver-Blue Lagoon,200.0,2019-04-13,black
35,https://stockx.com/nike-sb-dunk-low-parra,Nike SB Dunk Low Parra,SB,SB Dunk Low,skateboarding,SB Dunk Low,images/right/Nike_SB_Dunk_Low_Parra_right.jpg,images/r_d/Nike_SB_Dunk_Low_Parra_r_d.jpg,images/straight/Nike_SB_Dunk_Low_Parra_straight.jpg,images/l_d/Nike_SB_Dunk_Low_Parra_l_d.jpg,images/left/Nike_SB_Dunk_Low_Parra_left.jpg,images/back/Nike_SB_Dunk_Low_Parra_back.jpg,CN4504-100,White/Red-Pink,100.0,2019-07-27,white
36,https://stockx.com/nike-dunk-low-viotech-2019,Nike Dunk Low Viotech (2019),Basketball,Dunk,basketball,Dunk Low Viotech,images/right/Nike_Dunk_Low_Viotech_2019_right.jpg,images/r_d/Nike_Dunk_Low_Viotech_2019_r_d.jpg,images/straight/Nike_Dunk_Low_Viotech_2019_straight.jpg,images/l_d/Nike_Dunk_Low_Viotech_2019_l_d.jpg,images/left/Nike_Dunk_Low_Viotech_2019_left.jpg,images/back/Nike_Dunk_Low_Viotech_2019_back.jpg,CT5050-500,Viotech/Viotech,120.0,2019-12-10,multi-color
37,https://stockx.com/nike-air-fear-of-god-1-oatmeal,Nike Air Fear of God 1 Oatmeal,Other,Other,other,Air Fear of,images/right/Nike_Air_Fear_of_God_1_Oatmeal_right.jpg,images/r_d/Nike_Air_Fear_of_God_1_Oatmeal_r_d.jpg,images/straight/Nike_Air_Fear_of_God_1_Oatmeal_straight.jpg,images/l_d/Nike_Air_Fear_of_God_1_Oatmeal_l_d.jpg,images/left/Nike_Air_Fear_of_God_1_Oatmeal_left.jpg,images/back/Nike_Air_Fear_of_God_1_Oatmeal_back.jpg,AR4237-900,Multi-Color/String-Oatmeal,350.0,2019-11-02,multi-color
38,https://stockx.com/nike-air-force-1-low-clot-blue-silk,Nike Air Force 1 Low CLOT Blue Silk,Air Force,1,air_force_1,Air Force 1,images/right/Nike_Air_Force_1_Low_CLOT_Blue_Silk_right.jpg,images/r_d/Nike_Air_Force_1_Low_CLOT_Blue_Silk_r_d.jpg,images/straight/Nike_Air_Force_1_Low_CLOT_Blue_Silk_straight.jpg,images/l_d/Nike_Air_Force_1_Low_CLOT_Blue_Silk_l_d.jpg,images/left/Nike_Air_Force_1_Low_CLOT_Blue_Silk_left.jpg,images/back/Nike_Air_Force_1_Low_CLOT_Blue_Silk_back.jpg,CJ5290-400,University Blue/White-Gum,250.0,2019-11-11,blue
39,https://stockx.com/nike-react-presto-undercover-black,Nike React Presto Undercover Black,Other,Running,running,React Presto Undercover,images/right/Nike_React_Presto_Undercover_Black_right.jpg,images/r_d/Nike_React_Presto_Undercover_Black_r_d.jpg,images/straight/Nike_React_Presto_Undercover_Black_straight.jpg,images/l_d/Nike_React_Presto_Undercover_Black_l_d.jpg,images/left/Nike_React_Presto_Undercover_Black_left.jpg,images/back/Nike_React_Presto_Undercover_Black_back.jpg,CU3459-001,Black/White-Black-Black,180.0,2020-01-28,black
40,https://stockx.com/nike-daybreak-undercover-black,Nike Daybreak Undercover Black,Other,Other,other,Daybreak Undercover Black,images/right/Nike_Daybreak_Undercover_Black_right.jpg,images/r_d/Nike_Daybreak_Undercover_Black_r_d.jpg,images/straight/Nike_Daybreak_Undercover_Black_straight.jpg,images/l_d/Nike_Daybreak_Undercover_Black_l_d.jpg,images/left/Nike_Daybreak_Undercover_Black_left.jpg,images/back/Nike_Daybreak_Undercover_Black_back.jpg,BV4594-001,BLACK/WHITE,160.0,2019-06-07,black
41,https://stockx.com/nike-classic-cortez-stranger-things-sail,Nike Classic Cortez Stranger Things Sail Upside Down Pack,Other,Running,running,Classic Cortez Stranger,images/right/Nike_Classic_Cortez_Stranger_Things_Sail_Upside_Down_Pack_right.jpg,images/r_d/Nike_Classic_Cortez_Stranger_Things_Sail_Upside_Down_Pack_r_d.jpg,images/straight/Nike_Classic_Cortez_Stranger_Things_Sail_Upside_Down_Pack_straight.jpg,images/l_d/Nike_Classic_Cortez_Stranger_Things_Sail_Upside_Down_Pack_l_d.jpg,images/left/Nike_Classic_Cortez_Stranger_Things_Sail_Upside_Down_Pack_left.jpg,images/back/Nike_Classic_Cortez_Stranger_Things_Sail_Upside_Down_Pack_back.jpg,CJ6107-100,Sail/Navy,120.0,2019-08-13,neutral
42,https://stockx.com/nike-air-force-1-low-retro-ivory-snake,Nike Air Force 1 Low Retro Ivory Snake,Air Force,1,air_force_1,Air Force 1,images/right/Nike_Air_Force_1_Low_Retro_Ivory_Snake_right.jpg,images/r_d/Nike_Air_Force_1_Low_Retro_Ivory_Snake_r_d.jpg,images/straight/Nike_Air_Force_1_Low_Retro_Ivory_Snake_straight.jpg,images/l_d/Nike_Air_Force_1_Low_Retro_Ivory_Snake_l_d.jpg,images/left/Nike_Air_Force_1_Low_Retro_Ivory_Snake_left.jpg,images/back/Nike_Air_Force_1_Low_Retro_Ivory_Snake_back.jpg,AO1635-100,White/Elemental Gold-Dark Hazel-Black,150.0,2019-05-22,white
