,stockx_name,right,r_d,straight,l_d,left,back,type_3
467,Nike Air Max Tailwind 4 Black Metallic Silver,images/right/Nike_Air_Max_Tailwind_4_Black_Metallic_Silver_right.jpg,images/r_d/Nike_Air_Max_Tailwind_4_Black_Metallic_Silver_r_d.jpg,images/straight/Nike_Air_Max_Tailwind_4_Black_Metallic_Silver_straight.jpg,images/l_d/Nike_Air_Max_Tailwind_4_Black_Metallic_Silver_l_d.jpg,images/left/Nike_Air_Max_Tailwind_4_Black_Metallic_Silver_left.jpg,images/back/Nike_Air_Max_Tailwind_4_Black_Metallic_Silver_back.jpg,air_max
903,Nike Air Force 1 Vandalized Sail Mystic Green (W),images/right/Nike_Air_Force_1_Vandalized_Sail_Mystic_Green_W_right.jpg,images/r_d/Nike_Air_Force_1_Vandalized_Sail_Mystic_Green_W_r_d.jpg,images/straight/Nike_Air_Force_1_Vandalized_Sail_Mystic_Green_W_straight.jpg,images/l_d/Nike_Air_Force_1_Vandalized_Sail_Mystic_Green_W_l_d.jpg,images/left/Nike_Air_Force_1_Vandalized_Sail_Mystic_Green_W_left.jpg,images/back/Nike_Air_Force_1_Vandalized_Sail_Mystic_Green_W_back.jpg,air_force_1
218,Nike Air Max 98 Vast Grey Fresh Mint,images/right/Nike_Air_Max_98_Vast_Grey_Fresh_Mint_right.jpg,images/r_d/Nike_Air_Max_98_Vast_Grey_Fresh_Mint_r_d.jpg,images/straight/Nike_Air_Max_98_Vast_Grey_Fresh_Mint_straight.jpg,images/l_d/Nike_Air_Max_98_Vast_Grey_Fresh_Mint_l_d.jpg,images/left/Nike_Air_Max_98_Vast_Grey_Fresh_Mint_left.jpg,images/back/Nike_Air_Max_98_Vast_Grey_Fresh_Mint_back.jpg,air_max
858,Nike Air Force 1 High Wheat 2016 (W),images/right/Nike_Air_Force_1_High_Wheat_2016_W_right.jpg,images/r_d/Nike_Air_Force_1_High_Wheat_2016_W_r_d.jpg,images/straight/Nike_Air_Force_1_High_Wheat_2016_W_straight.jpg,images/l_d/Nike_Air_Force_1_High_Wheat_2016_W_l_d.jpg,images/left/Nike_Air_Force_1_High_Wheat_2016_W_left.jpg,images/back/Nike_Air_Force_1_High_Wheat_2016_W_back.jpg,air_force_1
27,Nike Air Max 90 Mars Landing,images/right/Nike_Air_Max_90_Mars_Landing_right.jpg,images/r_d/Nike_Air_Max_90_Mars_Landing_r_d.jpg,images/straight/Nike_Air_Max_90_Mars_Landing_straight.jpg,images/l_d/Nike_Air_Max_90_Mars_Landing_l_d.jpg,images/left/Nike_Air_Max_90_Mars_Landing_left.jpg,images/back/Nike_Air_Max_90_Mars_Landing_back.jpg,air_max_90
840,Nike Outburst Decon Ghost Aqua (W),images/right/Nike_Outburst_Decon_Ghost_Aqua_W_right.jpg,images/r_d/Nike_Outburst_Decon_Ghost_Aqua_W_r_d.jpg,images/straight/Nike_Outburst_Decon_Ghost_Aqua_W_straight.jpg,images/l_d/Nike_Outburst_Decon_Ghost_Aqua_W_l_d.jpg,images/left/Nike_Outburst_Decon_Ghost_Aqua_W_left.jpg,images/back/Nike_Outburst_Decon_Ghost_Aqua_W_back.jpg,running
185,Nike Air Force 1 Low Black Skeleton,images/right/Nike_Air_Force_1_Low_Black_Skeleton_right.jpg,images/r_d/Nike_Air_Force_1_Low_Black_Skeleton_r_d.jpg,images/straight/Nike_Air_Force_1_Low_Black_Skeleton_straight.jpg,images/l_d/Nike_Air_Force_1_Low_Black_Skeleton_l_d.jpg,images/left/Nike_Air_Force_1_Low_Black_Skeleton_left.jpg,images/back/Nike_Air_Force_1_Low_Black_Skeleton_back.jpg,air_force_1
424,Nike Air Max 1 Tinker Schematic,images/right/Nike_Air_Max_1_Tinker_Schematic_right.jpg,images/r_d/Nike_Air_Max_1_Tinker_Schematic_r_d.jpg,images/straight/Nike_Air_Max_1_Tinker_Schematic_straight.jpg,images/l_d/Nike_Air_Max_1_Tinker_Schematic_l_d.jpg,images/left/Nike_Air_Max_1_Tinker_Schematic_left.jpg,images/back/Nike_Air_Max_1_Tinker_Schematic_back.jpg,air_max_1
875,Nike Air Force 1 Low Doernbecher 2019,images/right/Nike_Air_Force_1_Low_Doernbecher_2019_right.jpg,images/r_d/Nike_Air_Force_1_Low_Doernbecher_2019_r_d.jpg,images/straight/Nike_Air_Force_1_Low_Doernbecher_2019_straight.jpg,images/l_d/Nike_Air_Force_1_Low_Doernbecher_2019_l_d.jpg,images/left/Nike_Air_Force_1_Low_Doernbecher_2019_left.jpg,images/back/Nike_Air_Force_1_Low_Doernbecher_2019_back.jpg,air_force_1
77,Nike Air Max 90 Recraft Hyper Grape (W),images/right/Nike_Air_Max_90_Recraft_Hyper_Grape_W_right.jpg,images/r_d/Nike_Air_Max_90_Recraft_Hyper_Grape_W_r_d.jpg,images/straight/Nike_Air_Max_90_Recraft_Hyper_Grape_W_straight.jpg,images/l_d/Nike_Air_Max_90_Recraft_Hyper_Grape_W_l_d.jpg,images/left/Nike_Air_Max_90_Recraft_Hyper_Grape_W_left.jpg,images/back/Nike_Air_Max_90_Recraft_Hyper_Grape_W_back.jpg,air_max_90
405,Nike Kyrie 6 Trophies,images/right/Nike_Kyrie_6_Trophies_right.jpg,images/r_d/Nike_Kyrie_6_Trophies_r_d.jpg,images/straight/Nike_Kyrie_6_Trophies_straight.jpg,images/l_d/Nike_Kyrie_6_Trophies_l_d.jpg,images/left/Nike_Kyrie_6_Trophies_left.jpg,images/back/Nike_Kyrie_6_Trophies_back.jpg,basketball
481,Nike Air Max 720 Black Mesh,images/right/Nike_Air_Max_720_Black_Mesh_right.jpg,images/r_d/Nike_Air_Max_720_Black_Mesh_r_d.jpg,images/straight/Nike_Air_Max_720_Black_Mesh_straight.jpg,images/l_d/Nike_Air_Max_720_Black_Mesh_l_d.jpg,images/left/Nike_Air_Max_720_Black_Mesh_left.jpg,images/back/Nike_Air_Max_720_Black_Mesh_back.jpg,air_max
438,Nike LeBron Icon John Elliott Tulip Pink,images/right/Nike_LeBron_Icon_John_Elliott_Tulip_Pink_right.jpg,images/r_d/Nike_LeBron_Icon_John_Elliott_Tulip_Pink_r_d.jpg,images/straight/Nike_LeBron_Icon_John_Elliott_Tulip_Pink_straight.jpg,images/l_d/Nike_LeBron_Icon_John_Elliott_Tulip_Pink_l_d.jpg,images/left/Nike_LeBron_Icon_John_Elliott_Tulip_Pink_left.jpg,images/back/Nike_LeBron_Icon_John_Elliott_Tulip_Pink_back.jpg,basketball
116,Nike Air Max 1 Anniversary Red (2017),images/right/Nike_Air_Max_1_Anniversary_Red_2017_right.jpg,images/r_d/Nike_Air_Max_1_Anniversary_Red_2017_r_d.jpg,images/straight/Nike_Air_Max_1_Anniversary_Red_2017_straight.jpg,images/l_d/Nike_Air_Max_1_Anniversary_Red_2017_l_d.jpg,images/left/Nike_Air_Max_1_Anniversary_Red_2017_left.jpg,images/back/Nike_Air_Max_1_Anniversary_Red_2017_back.jpg,air_max_1
377,Nike Kobe 4 Protro Wizenard,images/right/Nike_Kobe_4_Protro_Wizenard_right.jpg,images/r_d/Nike_Kobe_4_Protro_Wizenard_r_d.jpg,images/straight/Nike_Kobe_4_Protro_Wizenard_straight.jpg,images/l_d/Nike_Kobe_4_Protro_Wizenard_l_d.jpg,images/left/Nike_Kobe_4_Protro_Wizenard_left.jpg,images/back/Nike_Kobe_4_Protro_Wizenard_back.jpg,basketball
718,Nike Air VaporMax 2 Black White,images/right/Nike_Air_VaporMax_2_Black_White_right.jpg,images/r_d/Nike_Air_VaporMax_2_Black_White_r_d.jpg,images/straight/Nike_Air_VaporMax_2_Black_White_straight.jpg,images/l_d/Nike_Air_VaporMax_2_Black_White_l_d.jpg,images/left/Nike_Air_VaporMax_2_Black_White_left.jpg,images/back/Nike_Air_VaporMax_2_Black_White_back.jpg,air_max_vapormax
803,Nike Air Max 97 Cocoa Snake (W),images/right/Nike_Air_Max_97_Cocoa_Snake_W_right.jpg,images/r_d/Nike_Air_Max_97_Cocoa_Snake_W_r_d.jpg,images/straight/Nike_Air_Max_97_Cocoa_Snake_W_straight.jpg,images/l_d/Nike_Air_Max_97_Cocoa_Snake_W_l_d.jpg,images/left/Nike_Air_Max_97_Cocoa_Snake_W_left.jpg,images/back/Nike_Air_Max_97_Cocoa_Snake_W_back.jpg,air_max_97
652,Nike Air Huarache Run Prm Rust Pink Metallic Red Bronze-Sail,images/right/Nike_Air_Huarache_Run_Prm_Rust_Pink_Metallic_Red_Bronze-Sail_right.jpg,images/r_d/Nike_Air_Huarache_Run_Prm_Rust_Pink_Metallic_Red_Bronze-Sail_r_d.jpg,images/straight/Nike_Air_Huarache_Run_Prm_Rust_Pink_Metallic_Red_Bronze-Sail_straight.jpg,images/l_d/Nike_Air_Huarache_Run_Prm_Rust_Pink_Metallic_Red_Bronze-Sail_l_d.jpg,images/left/Nike_Air_Huarache_Run_Prm_Rust_Pink_Metallic_Red_Bronze-Sail_left.jpg,images/back/Nike_Air_Huarache_Run_Prm_Rust_Pink_Metallic_Red_Bronze-Sail_back.jpg,other
828,Nike Air Max 90 White Leather (GS),images/right/Nike_Air_Max_90_White_Leather_GS_right.jpg,images/r_d/Nike_Air_Max_90_White_Leather_GS_r_d.jpg,images/straight/Nike_Air_Max_90_White_Leather_GS_straight.jpg,images/l_d/Nike_Air_Max_90_White_Leather_GS_l_d.jpg,images/left/Nike_Air_Max_90_White_Leather_GS_left.jpg,images/back/Nike_Air_Max_90_White_Leather_GS_back.jpg,air_max_90
533,Nike Air Max 90 Undefeated White Solar Red,images/right/Nike_Air_Max_90_Undefeated_White_Solar_Red_right.jpg,images/r_d/Nike_Air_Max_90_Undefeated_White_Solar_Red_r_d.jpg,images/straight/Nike_Air_Max_90_Undefeated_White_Solar_Red_straight.jpg,images/l_d/Nike_Air_Max_90_Undefeated_White_Solar_Red_l_d.jpg,images/left/Nike_Air_Max_90_Undefeated_White_Solar_Red_left.jpg,images/back/Nike_Air_Max_90_Undefeated_White_Solar_Red_back.jpg,air_max_90
206,Nike Air Max 97 Nintendo 64,images/right/Nike_Air_Max_97_Nintendo_64_right.jpg,images/r_d/Nike_Air_Max_97_Nintendo_64_r_d.jpg,images/straight/Nike_Air_Max_97_Nintendo_64_straight.jpg,images/l_d/Nike_Air_Max_97_Nintendo_64_l_d.jpg,images/left/Nike_Air_Max_97_Nintendo_64_left.jpg,images/back/Nike_Air_Max_97_Nintendo_64_back.jpg,air_max_97
120,Nike Air Force 1 Low Travis Scott (AF100),images/right/Nike_Air_Force_1_Low_Travis_Scott_AF100_right.jpg,images/r_d/Nike_Air_Force_1_Low_Travis_Scott_AF100_r_d.jpg,images/straight/Nike_Air_Force_1_Low_Travis_Scott_AF100_straight.jpg,images/l_d/Nike_Air_Force_1_Low_Travis_Scott_AF100_l_d.jpg,images/left/Nike_Air_Force_1_Low_Travis_Scott_AF100_left.jpg,images/back/Nike_Air_Force_1_Low_Travis_Scott_AF100_back.jpg,air_force_1
933,Nike KD 12 Warriors Home,images/right/Nike_KD_12_Warriors_Home_right.jpg,images/r_d/Nike_KD_12_Warriors_Home_r_d.jpg,images/straight/Nike_KD_12_Warriors_Home_straight.jpg,images/l_d/Nike_KD_12_Warriors_Home_l_d.jpg,images/left/Nike_KD_12_Warriors_Home_left.jpg,images/back/Nike_KD_12_Warriors_Home_back.jpg,basketball
633,Nike SB Zoom Blazer Mid Black White,images/right/Nike_SB_Zoom_Blazer_Mid_Black_White_right.jpg,images/r_d/Nike_SB_Zoom_Blazer_Mid_Black_White_r_d.jpg,images/straight/Nike_SB_Zoom_Blazer_Mid_Black_White_straight.jpg,images/l_d/Nike_SB_Zoom_Blazer_Mid_Black_White_l_d.jpg,images/left/Nike_SB_Zoom_Blazer_Mid_Black_White_left.jpg,images/back/Nike_SB_Zoom_Blazer_Mid_Black_White_back.jpg,skateboarding
67,Nike Air Max 97 Silver Bullet (2016/2017),images/right/Nike_Air_Max_97_Silver_Bullet_20162017_right.jpg,images/r_d/Nike_Air_Max_97_Silver_Bullet_20162017_r_d.jpg,images/straight/Nike_Air_Max_97_Silver_Bullet_20162017_straight.jpg,images/l_d/Nike_Air_Max_97_Silver_Bullet_20162017_l_d.jpg,images/left/Nike_Air_Max_97_Silver_Bullet_20162017_left.jpg,images/back/Nike_Air_Max_97_Silver_Bullet_20162017_back.jpg,air_max_97
772,Nike Air Max 90 PRM Platinum Crimson/Bright Purple (W),images/right/Nike_Air_Max_90_PRM_Platinum_CrimsonBright_Purple_W_right.jpg,images/r_d/Nike_Air_Max_90_PRM_Platinum_CrimsonBright_Purple_W_r_d.jpg,images/straight/Nike_Air_Max_90_PRM_Platinum_CrimsonBright_Purple_W_straight.jpg,images/l_d/Nike_Air_Max_90_PRM_Platinum_CrimsonBright_Purple_W_l_d.jpg,images/left/Nike_Air_Max_90_PRM_Platinum_CrimsonBright_Purple_W_left.jpg,images/back/Nike_Air_Max_90_PRM_Platinum_CrimsonBright_Purple_W_back.jpg,air_max_90
648,Nike Air VaporMax Flyknit 3 Laser Fuchsia Laser Orange (W),images/right/Nike_Air_VaporMax_Flyknit_3_Laser_Fuchsia_Laser_Orange_W_right.jpg,images/r_d/Nike_Air_VaporMax_Flyknit_3_Laser_Fuchsia_Laser_Orange_W_r_d.jpg,images/straight/Nike_Air_VaporMax_Flyknit_3_Laser_Fuchsia_Laser_Orange_W_straight.jpg,images/l_d/Nike_Air_VaporMax_Flyknit_3_Laser_Fuchsia_Laser_Orange_W_l_d.jpg,images/left/Nike_Air_VaporMax_Flyknit_3_Laser_Fuchsia_Laser_Orange_W_left.jpg,images/back/Nike_Air_VaporMax_Flyknit_3_Laser_Fuchsia_Laser_Orange_W_back.jpg,air_max_vapormax
436,Nike Kobe 4 Protro FTB Snake,images/right/Nike_Kobe_4_Protro_FTB_Snake_right.jpg,images/r_d/Nike_Kobe_4_Protro_FTB_Snake_r_d.jpg,images/straight/Nike_Kobe_4_Protro_FTB_Snake_straight.jpg,images/l_d/Nike_Kobe_4_Protro_FTB_Snake_l_d.jpg,images/left/Nike_Kobe_4_Protro_FTB_Snake_left.jpg,images/back/Nike_Kobe_4_Protro_FTB_Snake_back.jpg,basketball
172,Nike Air Force 1 DNA White,images/right/Nike_Air_Force_1_DNA_White_right.jpg,images/r_d/Nike_Air_Force_1_DNA_White_r_d.jpg,images/straight/Nike_Air_Force_1_DNA_White_straight.jpg,images/l_d/Nike_Air_Force_1_DNA_White_l_d.jpg,images/left/Nike_Air_Force_1_DNA_White_left.jpg,images/back/Nike_Air_Force_1_DNA_White_back.jpg,air_force_1
43,Nike Air Max 1 Susan Missing Link,images/right/Nike_Air_Max_1_Susan_Missing_Link_right.jpg,images/r_d/Nike_Air_Max_1_Susan_Missing_Link_r_d.jpg,images/straight/Nike_Air_Max_1_Susan_Missing_Link_straight.jpg,images/l_d/Nike_Air_Max_1_Susan_Missing_Link_l_d.jpg,images/left/Nike_Air_Max_1_Susan_Missing_Link_left.jpg,images/back/Nike_Air_Max_1_Susan_Missing_Link_back.jpg,air_max_1
368,Nike Air Max 1 Tokyo Maze,images/right/Nike_Air_Max_1_Tokyo_Maze_right.jpg,images/r_d/Nike_Air_Max_1_Tokyo_Maze_r_d.jpg,images/straight/Nike_Air_Max_1_Tokyo_Maze_straight.jpg,images/l_d/Nike_Air_Max_1_Tokyo_Maze_l_d.jpg,images/left/Nike_Air_Max_1_Tokyo_Maze_left.jpg,images/back/Nike_Air_Max_1_Tokyo_Maze_back.jpg,air_max_1
549,Nike Air Max 97 London Summer of Love,images/right/Nike_Air_Max_97_London_Summer_of_Love_right.jpg,images/r_d/Nike_Air_Max_97_London_Summer_of_Love_r_d.jpg,images/straight/Nike_Air_Max_97_London_Summer_of_Love_straight.jpg,images/l_d/Nike_Air_Max_97_London_Summer_of_Love_l_d.jpg,images/left/Nike_Air_Max_97_London_Summer_of_Love_left.jpg,images/back/Nike_Air_Max_97_London_Summer_of_Love_back.jpg,air_max_97
117,Nike Kyrie 4 Lucky Charms,images/right/Nike_Kyrie_4_Lucky_Charms_right.jpg,images/r_d/Nike_Kyrie_4_Lucky_Charms_r_d.jpg,images/straight/Nike_Kyrie_4_Lucky_Charms_straight.jpg,images/l_d/Nike_Kyrie_4_Lucky_Charms_l_d.jpg,images/left/Nike_Kyrie_4_Lucky_Charms_left.jpg,images/back/Nike_Kyrie_4_Lucky_Charms_back.jpg,basketball
649,Nike Air VaporMax Flyknit 3 Noble Red Blue Void,images/right/Nike_Air_VaporMax_Flyknit_3_Noble_Red_Blue_Void_right.jpg,images/r_d/Nike_Air_VaporMax_Flyknit_3_Noble_Red_Blue_Void_r_d.jpg,images/straight/Nike_Air_VaporMax_Flyknit_3_Noble_Red_Blue_Void_straight.jpg,images/l_d/Nike_Air_VaporMax_Flyknit_3_Noble_Red_Blue_Void_l_d.jpg,images/left/Nike_Air_VaporMax_Flyknit_3_Noble_Red_Blue_Void_left.jpg,images/back/Nike_Air_VaporMax_Flyknit_3_Noble_Red_Blue_Void_back.jpg,air_max_vapormax
818,Nike Air VaporMax 3.0 Flash Crimson,images/right/Nike_Air_VaporMax_3.0_Flash_Crimson_right.jpg,images/r_d/Nike_Air_VaporMax_3.0_Flash_Crimson_r_d.jpg,images/straight/Nike_Air_VaporMax_3.0_Flash_Crimson_straight.jpg,images/l_d/Nike_Air_VaporMax_3.0_Flash_Crimson_l_d.jpg,images/left/Nike_Air_VaporMax_3.0_Flash_Crimson_left.jpg,images/back/Nike_Air_VaporMax_3.0_Flash_Crimson_back.jpg,air_max_vapormax
90,Nike React Element 87 Sail Light Bone,images/right/Nike_React_Element_87_Sail_Light_Bone_right.jpg,images/r_d/Nike_React_Element_87_Sail_Light_Bone_r_d.jpg,images/straight/Nike_React_Element_87_Sail_Light_Bone_straight.jpg,images/l_d/Nike_React_Element_87_Sail_Light_Bone_l_d.jpg,images/left/Nike_React_Element_87_Sail_Light_Bone_left.jpg,images/back/Nike_React_Element_87_Sail_Light_Bone_back.jpg,running
383,Nike Dunk SB Low De La Soul (2015),images/right/Nike_Dunk_SB_Low_De_La_Soul_2015_right.jpg,images/r_d/Nike_Dunk_SB_Low_De_La_Soul_2015_r_d.jpg,images/straight/Nike_Dunk_SB_Low_De_La_Soul_2015_straight.jpg,images/l_d/Nike_Dunk_SB_Low_De_La_Soul_2015_l_d.jpg,images/left/Nike_Dunk_SB_Low_De_La_Soul_2015_left.jpg,images/back/Nike_Dunk_SB_Low_De_La_Soul_2015_back.jpg,skateboarding
362,Nike Air Max Uptempo 95 White Photo Blue Black,images/right/Nike_Air_Max_Uptempo_95_White_Photo_Blue_Black_right.jpg,images/r_d/Nike_Air_Max_Uptempo_95_White_Photo_Blue_Black_r_d.jpg,images/straight/Nike_Air_Max_Uptempo_95_White_Photo_Blue_Black_straight.jpg,images/l_d/Nike_Air_Max_Uptempo_95_White_Photo_Blue_Black_l_d.jpg,images/left/Nike_Air_Max_Uptempo_95_White_Photo_Blue_Black_left.jpg,images/back/Nike_Air_Max_Uptempo_95_White_Photo_Blue_Black_back.jpg,basketball
629,Nike Air VaporMax Flyknit 3 Sunset Tint (W),images/right/Nike_Air_VaporMax_Flyknit_3_Sunset_Tint_W_right.jpg,images/r_d/Nike_Air_VaporMax_Flyknit_3_Sunset_Tint_W_r_d.jpg,images/straight/Nike_Air_VaporMax_Flyknit_3_Sunset_Tint_W_straight.jpg,images/l_d/Nike_Air_VaporMax_Flyknit_3_Sunset_Tint_W_l_d.jpg,images/left/Nike_Air_VaporMax_Flyknit_3_Sunset_Tint_W_left.jpg,images/back/Nike_Air_VaporMax_Flyknit_3_Sunset_Tint_W_back.jpg,air_max_vapormax
124,Nike Air Max 1 Master,images/right/Nike_Air_Max_1_Master_right.jpg,images/r_d/Nike_Air_Max_1_Master_r_d.jpg,images/straight/Nike_Air_Max_1_Master_straight.jpg,images/l_d/Nike_Air_Max_1_Master_l_d.jpg,images/left/Nike_Air_Max_1_Master_left.jpg,images/back/Nike_Air_Max_1_Master_back.jpg,air_max_1
320,Nike Air Max 1 Atomic Violet (W),images/right/Nike_Air_Max_1_Atomic_Violet_W_right.jpg,images/r_d/Nike_Air_Max_1_Atomic_Violet_W_r_d.jpg,images/straight/Nike_Air_Max_1_Atomic_Violet_W_straight.jpg,images/l_d/Nike_Air_Max_1_Atomic_Violet_W_l_d.jpg,images/left/Nike_Air_Max_1_Atomic_Violet_W_left.jpg,images/back/Nike_Air_Max_1_Atomic_Violet_W_back.jpg,air_max_1
823,Nike PG 3 Diamond,images/right/Nike_PG_3_Diamond_right.jpg,images/r_d/Nike_PG_3_Diamond_r_d.jpg,images/straight/Nike_PG_3_Diamond_straight.jpg,images/l_d/Nike_PG_3_Diamond_l_d.jpg,images/left/Nike_PG_3_Diamond_left.jpg,images/back/Nike_PG_3_Diamond_back.jpg,basketball
938,Nike Air More Uptempo Cool Grey Midnight Navy,images/right/Nike_Air_More_Uptempo_Cool_Grey_Midnight_Navy_right.jpg,images/r_d/Nike_Air_More_Uptempo_Cool_Grey_Midnight_Navy_r_d.jpg,images/straight/Nike_Air_More_Uptempo_Cool_Grey_Midnight_Navy_straight.jpg,images/l_d/Nike_Air_More_Uptempo_Cool_Grey_Midnight_Navy_l_d.jpg,images/left/Nike_Air_More_Uptempo_Cool_Grey_Midnight_Navy_left.jpg,images/back/Nike_Air_More_Uptempo_Cool_Grey_Midnight_Navy_back.jpg,basketball
690,Nike Air Max 270 Triple White,images/right/Nike_Air_Max_270_Triple_White_right.jpg,images/r_d/Nike_Air_Max_270_Triple_White_r_d.jpg,images/straight/Nike_Air_Max_270_Triple_White_straight.jpg,images/l_d/Nike_Air_Max_270_Triple_White_l_d.jpg,images/left/Nike_Air_Max_270_Triple_White_left.jpg,images/back/Nike_Air_Max_270_Triple_White_back.jpg,air_max
101,Nike Kyrie 5 Spongebob Squidward,images/right/Nike_Kyrie_5_Spongebob_Squidward_right.jpg,images/r_d/Nike_Kyrie_5_Spongebob_Squidward_r_d.jpg,images/straight/Nike_Kyrie_5_Spongebob_Squidward_straight.jpg,images/l_d/Nike_Kyrie_5_Spongebob_Squidward_l_d.jpg,images/left/Nike_Kyrie_5_Spongebob_Squidward_left.jpg,images/back/Nike_Kyrie_5_Spongebob_Squidward_back.jpg,basketball
904,Nike LeBron 16 Buzz Lightyear,images/right/Nike_LeBron_16_Buzz_Lightyear_right.jpg,images/r_d/Nike_LeBron_16_Buzz_Lightyear_r_d.jpg,images/straight/Nike_LeBron_16_Buzz_Lightyear_straight.jpg,images/l_d/Nike_LeBron_16_Buzz_Lightyear_l_d.jpg,images/left/Nike_LeBron_16_Buzz_Lightyear_left.jpg,images/back/Nike_LeBron_16_Buzz_Lightyear_back.jpg,basketball
